title,year,runtime,director,cast,description,url
오즈의 마법사,1939,1h 42m,Victor Fleming,"Victor Fleming, King Vidor, Noel Langley, Florence Ryerson, Edgar Allan Woolf","Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz and embark on a quest with three new friends to see the Wizard, who can retur... Read all",https://www.imdb.com/title/tt0032138/?ref_=chttp_t_230
The Incredibles,2004,1h 55m,Brad Bird,"Brad Bird, Brad Bird, Craig T. Nelson, Samuel L. Jackson, Holly Hunter","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",https://www.imdb.com/title/tt0317705/?ref_=chttp_t_231
Rush,2013,2h 3m,Ron Howard,"Ron Howard, Peter Morgan, Daniel Brühl, Chris Hemsworth, Olivia Wilde","James Hunt and Niki Lauda, two extremely skilled Formula One racers, have an intense rivalry with each other. However, it is their enmity that pushes them to their limits.",https://www.imdb.com/title/tt1979320/?ref_=chttp_t_232
Network,1976,2h 1m,Sidney Lumet,"Sidney Lumet, Paddy Chayefsky, Faye Dunaway, William Holden, Peter Finch","A television network cynically exploits a deranged former anchor's ravings and revelations about mass media for its own profit, but finds that his message may be difficult to control.",https://www.imdb.com/title/tt0074958/?ref_=chttp_t_233
Stand by Me,1986,1h 29m,Rob Reiner,"Rob Reiner, Stephen King, Raynold Gideon, Bruce A. Evans, Wil Wheaton",A writer recounts a childhood journey with his friends to find the body of a missing boy.,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_234
Hachi: A Dog's Tale,2009,1h 33m,Lasse Hallström,"Lasse Hallström, Stephen P. Lindsey, Kaneto Shindô, Richard Gere, Joan Allen","Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond g... Read all",https://www.imdb.com/title/tt1028532/?ref_=chttp_t_235
사운드 오브 뮤직,1965,2h 52m,Robert Wise,"Robert Wise, Georg Hurdalek, Howard Lindsay, Russel Crouse, Julie Andrews",A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_236
저항,1956,1h 41m,Robert Bresson,"Robert Bresson, André Devigny, Robert Bresson, François Leterrier, Charles Le Clainche",A captured French Resistance fighter during World War II engineers a daunting escape from a German prison in France.,https://www.imdb.com/title/tt0049902/?ref_=chttp_t_237
Babam ve Oglum,2005,1h 52m,Çagan Irmak,"Çagan Irmak, Çagan Irmak, Çetin Tekindor, Fikret Kuskan, Hümeyra",The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_238
Ahgassi,2016,2h 25m,Park Chan-wook,"Park Chan-wook, Sarah Waters, Chung Seo-kyung, Park Chan-wook, Kim Min-hee","In 1930s Korea, a girl is hired as a handmaiden to a Japanese heiress who lives a secluded life on a countryside estate. But the maid has a secret: She is a pickpocket recruited by a swindle... Read all",https://www.imdb.com/title/tt4016934/?ref_=chttp_t_239
To Be or Not to Be,1942,1h 39m,Ernst Lubitsch,"Ernst Lubitsch, Melchior Lengyel, Edwin Justus Mayer, Ernst Lubitsch, Carole Lombard","During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",https://www.imdb.com/title/tt0035446/?ref_=chttp_t_240
Into the Wild,2007,2h 28m,Sean Penn,"Sean Penn, Sean Penn, Jon Krakauer, Emile Hirsch, Vince Vaughn","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska ... Read all",https://www.imdb.com/title/tt0758758/?ref_=chttp_t_241
The Iron Giant,1999,1h 26m,Brad Bird,"Brad Bird, Tim McCanlies, Brad Bird, Ted Hughes, Eli Marienthal",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_242
La battaglia di Algeri,1966,2h 1m,Gillo Pontecorvo,"Gillo Pontecorvo, Franco Solinas, Gillo Pontecorvo, Brahim Hadjadj, Jean Martin","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",https://www.imdb.com/title/tt0058946/?ref_=chttp_t_243
The Grapes of Wrath,1940,2h 9m,John Ford,"John Ford, Nunnally Johnson, John Steinbeck, Henry Fonda, Jane Darwell","An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great... Read all",https://www.imdb.com/title/tt0032551/?ref_=chttp_t_244
사랑의 블랙홀,1993,1h 41m,Harold Ramis,"Harold Ramis, Danny Rubin, Harold Ramis, Bill Murray, Andie MacDowell","A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",https://www.imdb.com/title/tt0107048/?ref_=chttp_t_245
Amores perros,2000,2h 34m,Alejandro G. Iñárritu,"Alejandro G. Iñárritu, Guillermo Arriaga, Emilio Echevarría, Gael García Bernal, Goya Toledo","An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",https://www.imdb.com/title/tt0245712/?ref_=chttp_t_246
Rebecca,1940,2h 10m,Alfred Hitchcock,"Alfred Hitchcock, Daphne Du Maurier, Robert E. Sherwood, Joan Harrison, Laurence Olivier",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_247
헬프,2011,2h 26m,Tate Taylor,"Tate Taylor, Tate Taylor, Kathryn Stockett, Viola Davis, Emma Stone","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and th... Read all",https://www.imdb.com/title/tt1454029/?ref_=chttp_t_248
Moksoriui hyeongtae,2016,2h 10m,Taichi Ishidate,"Taichi Ishidate, Naoko Yamada, Yoshitoki Ôima, Reiko Yoshida, Miyu Irino","A deaf girl, Shoko, is bullied by the popular Shoya. As Shoya continues to bully Shoko, the class turns its back on him. Shoko transfers and Shoya grows up as an outcast. Alone and depressed... Read all",https://www.imdb.com/title/tt5323662/?ref_=chttp_t_249
Cool Hand Luke,1967,2h 7m,Stuart Rosenberg,"Stuart Rosenberg, Donn Pearce, Frank Pierson, Hal Dresner, Paul Newman","A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",https://www.imdb.com/title/tt0061512/?ref_=chttp_t_250
