title,year,runtime,director,cast,description,url
Metropolis,1927,2h 33m,Fritz Lang,"Fritz Lang, Thea von Harbou, Fritz Lang, Brigitte Helm, Alfred Abel","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a... Read all",https://www.imdb.com/title/tt0017136/?ref_=chttp_t_120
Snatch,2000,1h 44m,Guy Ritchie,"Guy Ritchie, Guy Ritchie, Jason Statham, Brad Pitt, Stephen Graham","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",https://www.imdb.com/title/tt0208092/?ref_=chttp_t_121
1917,2019,1h 59m,Sam Mendes,"Sam Mendes, Sam Mendes, Krysty Wilson-Cairns, Dean-Charles Chapman, George MacKay","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from wa... Read all",https://www.imdb.com/title/tt8579674/?ref_=chttp_t_122
L.A. Confidential,1997,2h 18m,Curtis Hanson,"Curtis Hanson, James Ellroy, Brian Helgeland, Curtis Hanson, Kevin Spacey","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",https://www.imdb.com/title/tt0119488/?ref_=chttp_t_123
Bicycle Thieves,1948,1h 29m,Vittorio De Sica,"Vittorio De Sica, Cesare Zavattini, Luigi Bartolini, Oreste Biancoli, Lamberto Maggiorani","In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",https://www.imdb.com/title/tt0040522/?ref_=chttp_t_124
Downfall,2004,2h 36m,Oliver Hirschbiegel,"Oliver Hirschbiegel, Bernd Eichinger, Joachim Fest, Traudl Junge, Bruno Ganz","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",https://www.imdb.com/title/tt0363163/?ref_=chttp_t_125
Taxi Driver,1976,1h 54m,Martin Scorsese,"Martin Scorsese, Paul Schrader, Robert De Niro, Jodie Foster, Cybill Shepherd","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",https://www.imdb.com/title/tt0075314/?ref_=chttp_t_126
Hamilton,2020,2h 40m,Thomas Kail,"Thomas Kail, Lin-Manuel Miranda, Ron Chernow, Lin-Manuel Miranda, Phillipa Soo","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the origi... Read all",https://www.imdb.com/title/tt8503618/?ref_=chttp_t_127
Dangal,2016,2h 41m,Nitesh Tiwari,"Nitesh Tiwari, Piyush Gupta, Shreyas Jain, Nikhil Mehrotra, Aamir Khan","Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social... Read all",https://www.imdb.com/title/tt5074352/?ref_=chttp_t_128
더 울프 오브 월 스트리트,2013,3h,Martin Scorsese,"Martin Scorsese, Terence Winter, Jordan Belfort, Leonardo DiCaprio, Jonah Hill","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",https://www.imdb.com/title/tt0993846/?ref_=chttp_t_129
배트맨 비긴즈,2005,2h 20m,Christopher Nolan,"Christopher Nolan, Bob Kane, David S. Goyer, Christopher Nolan, Christian Bale","After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the ci... Read all",https://www.imdb.com/title/tt0372784/?ref_=chttp_t_130
For a Few Dollars More,1965,2h 12m,Sergio Leone,"Sergio Leone, Sergio Leone, Fulvio Morsella, Luciano Vincenzoni, Clint Eastwood",Two bounty killers with similar intentions but different motivations team up to track down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_131
그린 북,2018,2h 10m,Peter Farrelly,"Peter Farrelly, Nick Vallelonga, Brian Hayes Currie, Peter Farrelly, Viggo Mortensen",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_132
Some Like It Hot,1959,2h 1m,Billy Wilder,"Billy Wilder, Billy Wilder, I.A.L. Diamond, Robert Thoeren, Marilyn Monroe","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",https://www.imdb.com/title/tt0053291/?ref_=chttp_t_133
트루먼 쇼,1998,1h 43m,Peter Weir,"Peter Weir, Andrew Niccol, Jim Carrey, Ed Harris, Laura Linney",An insurance salesman discovers his whole life is actually a reality TV show.,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_134
뉘른베르크의 재판,1961,2h 59m,Stanley Kramer,"Stanley Kramer, Abby Mann, Montgomery Clift, Charles Dorat, Spencer Tracy","Fictionalized depiction of the 1947 Judges' Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges o... Read all",https://www.imdb.com/title/tt0055031/?ref_=chttp_t_135
The Kid,1921,1h 8m,Charles Chaplin,"Charles Chaplin, Charles Chaplin, Charles Chaplin, Edna Purviance, Jackie Coogan","The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",https://www.imdb.com/title/tt0012349/?ref_=chttp_t_136
더 파더,2020,1h 37m,Florian Zeller,"Florian Zeller, Christopher Hampton, Florian Zeller, Anthony Hopkins, Olivia Colman","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his... Read all",https://www.imdb.com/title/tt10272386/?ref_=chttp_t_137
셔터 아일랜드,2010,2h 18m,Martin Scorsese,"Martin Scorsese, Laeta Kalogridis, Dennis Lehane, Leonardo DiCaprio, Emily Mortimer",Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_138
Eveeui Modeun Gut,1950,2h 18m,Joseph L. Mankiewicz,"Joseph L. Mankiewicz, Joseph L. Mankiewicz, Mary Orr, Bette Davis, Anne Baxter",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_139
데어 윌 비 블러드,2007,2h 38m,Paul Thomas Anderson,"Paul Thomas Anderson, Paul Thomas Anderson, Upton Sinclair, Daniel Day-Lewis, Paul Dano","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",https://www.imdb.com/title/tt0469494/?ref_=chttp_t_140
Jyuragi gongwon,1993,2h 7m,Steven Spielberg,"Steven Spielberg, Michael Crichton, David Koepp, Sam Neill, Laura Dern","An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in... Read all",https://www.imdb.com/title/tt0107290/?ref_=chttp_t_141
카지노,1995,2h 58m,Martin Scorsese,"Martin Scorsese, Nicholas Pileggi, Martin Scorsese, Robert De Niro, Sharon Stone","In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",https://www.imdb.com/title/tt0112641/?ref_=chttp_t_142
탑건: 매버릭,2022,2h 10m,Joseph Kosinski,"Joseph Kosinski, Jim Cash, Jack Epps Jr., Peter Craig, Tom Cruise","The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",https://www.imdb.com/title/tt1745960/?ref_=chttp_t_143
식스 센스,1999,1h 47m,M. Night Shyamalan,"M. Night Shyamalan, M. Night Shyamalan, Bruce Willis, Haley Joel Osment, Toni Collette",A child psychologist starts treating a young boy with a disturbing secret.,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_144
Ran,1985,2h 40m,Akira Kurosawa,"Akira Kurosawa, Akira Kurosawa, Hideo Oguni, Masato Ide, Tatsuya Nakadai","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn o... Read all",https://www.imdb.com/title/tt0089881/?ref_=chttp_t_145
판의 미로 - 오필리아와 세 개의 열쇠,2006,1h 58m,Guillermo del Toro,"Guillermo del Toro, Guillermo del Toro, Ivana Baquero, Ariadna Gil, Sergi López","In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalt... Read all",https://www.imdb.com/title/tt0457430/?ref_=chttp_t_146
노인을 위한 나라는 없다,2007,2h 2m,Ethan Coen,"Ethan Coen, Joel Coen, Joel Coen, Ethan Coen, Cormac McCarthy",Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_147
Unforgiven,1992,2h 10m,Clint Eastwood,"Clint Eastwood, David Webb Peoples, Clint Eastwood, Gene Hackman, Morgan Freeman",Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_148
The Thing,1982,1h 49m,John Carpenter,"John Carpenter, Bill Lancaster, John W. Campbell Jr., Kurt Russell, Wilford Brimley",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_149
A Beautiful Mind,2001,2h 15m,Ron Howard,"Ron Howard, Akiva Goldsman, Sylvia Nasar, Russell Crowe, Ed Harris","A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a... Read all",https://www.imdb.com/title/tt0268978/?ref_=chttp_t_150
킬 빌,2003,1h 51m,Quentin Tarantino,"Quentin Tarantino, Quentin Tarantino, Uma Thurman, Uma Thurman, David Carradine","After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",https://www.imdb.com/title/tt0266697/?ref_=chttp_t_151
The Treasure of the Sierra Madre,1948,2h 6m,John Huston,"John Huston, John Huston, B. Traven, Charles Dorat, Humphrey Bogart",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_152
Yôjinbô,1961,1h 50m,Akira Kurosawa,"Akira Kurosawa, Akira Kurosawa, Ryûzô Kikushima, Toshirô Mifune, Eijirô Tôno",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_153
The Wild Robot,2024,1h 42m,Chris Sanders,"Chris Sanders, Chris Sanders, Peter Brown, Lupita Nyong'o, Pedro Pascal","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby ... Read all",https://www.imdb.com/title/tt29623480/?ref_=chttp_t_154
프리즈너스,2013,2h 33m,Denis Villeneuve,"Denis Villeneuve, Aaron Guzikowski, Hugh Jackman, Jake Gyllenhaal, Viola Davis","Keller Dover is facing every parent's worst nightmare. His six-year-old daughter, Anna, is missing, together with her friend, Joy, and as minutes turn to hours, panic sets in. The only lead ... Read all",https://www.imdb.com/title/tt1392214/?ref_=chttp_t_155
Finding Nemo,2003,1h 40m,Andrew Stanton,"Andrew Stanton, Lee Unkrich, Andrew Stanton, Bob Peterson, David Reynolds","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",https://www.imdb.com/title/tt0266543/?ref_=chttp_t_156
The Great Escape,1963,2h 52m,John Sturges,"John Sturges, Paul Brickhill, James Clavell, W.R. Burnett, Steve McQueen",Allied prisoners of war plan for several hundred of their men to escape from a German camp during World War II.,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_157
Monty Python and the Holy Grail,1975,1h 31m,Terry Gilliam,"Terry Gilliam, Terry Jones, Graham Chapman, John Cleese, Eric Idle","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",https://www.imdb.com/title/tt0071853/?ref_=chttp_t_158
Howlui umjikineun seong,2004,1h 59m,Hayao Miyazaki,"Hayao Miyazaki, Hayao Miyazaki, Diana Wynne Jones, Chieko Baishô, Takuya Kimura","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions ... Read all",https://www.imdb.com/title/tt0347149/?ref_=chttp_t_159
The Elephant Man,1980,2h 4m,David Lynch,"David Lynch, Christopher De Vore, Eric Bergren, David Lynch, Anthony Hopkins","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, inte... Read all",https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160
라쇼몽,1950,1h 28m,Akira Kurosawa,"Akira Kurosawa, Ryûnosuke Akutagawa, Akira Kurosawa, Shinobu Hashimoto, Toshirô Mifune","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",https://www.imdb.com/title/tt0042876/?ref_=chttp_t_161
Dial M for Murder,1954,1h 45m,Alfred Hitchcock,"Alfred Hitchcock, Frederick Knott, Charles Dorat, Ray Milland, Grace Kelly",A former tennis star arranges the murder of his adulterous wife.,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_162
바람과 함께 사라지다,1939,3h 58m,Victor Fleming,"Victor Fleming, George Cukor, Sam Wood, Margaret Mitchell, Sidney Howard",A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civi... Read all,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_163
Chinatown,1974,2h 10m,Roman Polanski,"Roman Polanski, Robert Towne, Roman Polanski, Jack Nicholson, Faye Dunaway","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",https://www.imdb.com/title/tt0071315/?ref_=chttp_t_164
El Sikeuleto: Bimil-ui Nundongja,2009,2h 9m,Juan José Campanella,"Juan José Campanella, Eduardo Sacheri, Juan José Campanella, Ricardo Darín, Soledad Villamil",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt hi... Read all,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_165
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,Guy Ritchie,"Guy Ritchie, Guy Ritchie, Jason Flemyng, Dexter Fletcher, Nick Moran","When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",https://www.imdb.com/title/tt0120735/?ref_=chttp_t_166
인사이드 아웃,2015,1h 41m,Pete Docter,"Pete Docter, Ronnie Del Carmen, Pete Docter, Ronnie Del Carmen, Meg LeFauve","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and... Read all",https://www.imdb.com/title/tt2096673/?ref_=chttp_t_167
브이 포 벤데타,2005,2h 12m,James McTeigue,"James McTeigue, Lilly Wachowski, Lana Wachowski, David Lloyd, Hugo Weaving","In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",https://www.imdb.com/title/tt0434409/?ref_=chttp_t_168
쓰리 빌보드,2017,1h 55m,Martin McDonagh,"Martin McDonagh, Martin McDonagh, Frances McDormand, Woody Harrelson, Sam Rockwell",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_169
클라우스,2019,1h 36m,Sergio Pablos,"Sergio Pablos, Carlos Martínez López, Sergio Pablos, Jim Mahoney, Zach Lewis","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv... Read all",https://www.imdb.com/title/tt4729430/?ref_=chttp_t_170
Raging Bull,1980,2h 9m,Martin Scorsese,"Martin Scorsese, Jake LaMotta, Joseph Carter, Peter Savage, Robert De Niro","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",https://www.imdb.com/title/tt0081398/?ref_=chttp_t_171
귀멸의 칼날: 장구저택 편,2021,1h 27m,Haruo Sotozaki,"Haruo Sotozaki, Koyoharu Gotouge, Haruo Sotozaki, Koyoharu Gotouge, September 18, 2021 (Japan)",Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help kee... Read all,https://www.imdb.com/title/tt16492678/?ref_=chttp_t_172
Trainspotting,1996,1h 33m,Danny Boyle,"Danny Boyle, Irvine Welsh, John Hodge, Ewan McGregor, Ewen Bremner","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",https://www.imdb.com/title/tt0117951/?ref_=chttp_t_173
The Bridge on the River Kwai,1957,2h 41m,David Lean,"David Lean, Pierre Boulle, Carl Foreman, Michael Wilson, William Holden","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t... Read all",https://www.imdb.com/title/tt0050212/?ref_=chttp_t_174
캐치 미 이프 유 캔,2002,2h 21m,Steven Spielberg,"Steven Spielberg, Frank Abagnale Jr., Stan Redding, Jeff Nathanson, Leonardo DiCaprio","Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",https://www.imdb.com/title/tt0264464/?ref_=chttp_t_175
파고,1996,1h 38m,Joel Coen,"Joel Coen, Ethan Coen, Ethan Coen, Joel Coen, William H. Macy",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_176
Warrior,2011,2h 20m,Gavin O'Connor,"Gavin O'Connor, Gavin O'Connor, Anthony Tambakis, Cliff Dorfman, Tom Hardy","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ... Read all",https://www.imdb.com/title/tt1291584/?ref_=chttp_t_177
스파이더맨: 노 웨이 홈,2021,2h 28m,Jon Watts,"Jon Watts, Chris McKenna, Erik Sommers, Stan Lee, Tom Holland","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",https://www.imdb.com/title/tt10872600/?ref_=chttp_t_178
그랜 토리노,2008,1h 56m,Clint Eastwood,"Clint Eastwood, Nick Schenk, Dave Johannson, Clint Eastwood, Bee Vang","After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",https://www.imdb.com/title/tt1205489/?ref_=chttp_t_179
Haeri Poteowa jugeumui seongmul - 2bu,2011,2h 10m,David Yates,"David Yates, Steve Kloves, J.K. Rowling, Daniel Radcliffe, Emma Watson","As the battle between the forces of good and evil in the wizarding world escalates, Harry Potter draws ever closer to his final confrontation with Voldemort.",https://www.imdb.com/title/tt1201607/?ref_=chttp_t_180
밀리언 달러 베이비,2004,2h 12m,Clint Eastwood,"Clint Eastwood, Paul Haggis, F.X. Toole, Hilary Swank, Clint Eastwood","Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close... Read all",https://www.imdb.com/title/tt0405159/?ref_=chttp_t_181
Tonari no Totoro,1988,1h 26m,Hayao Miyazaki,"Hayao Miyazaki, Hayao Miyazaki, Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",https://www.imdb.com/title/tt0096283/?ref_=chttp_t_182
매드맥스: 분노의 도로,2015,2h,George Miller,"George Miller, George Miller, Brendan McCarthy, Nick Lathouris, Tom Hardy","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named ... Read all",https://www.imdb.com/title/tt1392190/?ref_=chttp_t_183
Ben-Hur,1959,3h 32m,William Wyler,"William Wyler, Lew Wallace, Karl Tunberg, Gore Vidal, Charlton Heston","A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",https://www.imdb.com/title/tt0052618/?ref_=chttp_t_184
Barry Lyndon,1975,3h 5m,Stanley Kubrick,"Stanley Kubrick, Stanley Kubrick, William Makepeace Thackeray, Ryan O'Neal, Marisa Berenson",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_185
Children of Heaven,1997,1h 29m,Majid Majidi,"Majid Majidi, Majid Majidi, Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",https://www.imdb.com/title/tt0118849/?ref_=chttp_t_186
12 Years a Slave,2013,2h 14m,Steve McQueen,"Steve McQueen, John Ridley, Solomon Northup, Chiwetel Ejiofor, Michael Kenneth Williams","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",https://www.imdb.com/title/tt2024544/?ref_=chttp_t_187
블레이드 러너,1982,1h 57m,Ridley Scott,"Ridley Scott, Hampton Fancher, David Webb Peoples, Philip K. Dick, Harrison Ford",A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_188
비포 선라이즈,1995,1h 41m,Richard Linklater,"Richard Linklater, Richard Linklater, Kim Krizan, Ethan Hawke, Julie Delpy","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",https://www.imdb.com/title/tt0112471/?ref_=chttp_t_189
The Grand Budapest Hotel,2014,1h 39m,Wes Anderson,"Wes Anderson, Stefan Zweig, Wes Anderson, Hugo Guinness, Ralph Fiennes","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",https://www.imdb.com/title/tt2278388/?ref_=chttp_t_190
핵소 고지,2016,2h 19m,Mel Gibson,"Mel Gibson, Robert Schenkkan, Andrew Knight, Andrew Garfield, Sam Worthington","World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor wit... Read all",https://www.imdb.com/title/tt2119532/?ref_=chttp_t_191
죽은 시인의 사회,1989,2h 8m,Peter Weir,"Peter Weir, Tom Schulman, Robin Williams, Robert Sean Leonard, Ethan Hawke","Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of sel... Read all",https://www.imdb.com/title/tt0097165/?ref_=chttp_t_192
Gone Girl,2014,2h 29m,David Fincher,"David Fincher, Gillian Flynn, Ben Affleck, Rosamund Pike, Neil Patrick Harris",The husband of a missing woman becomes the chief suspect in her disappearance.,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_193
